key,tourn,round,player.id,match.id,seed,seeded,name,Sets.Played,Tie.Breaks.Played,Total.Games,Winners,Return.Games.Won,Server.Points.Won,Total.Points,First.Serves.In,Total.Aces,Total.Double.Faults,First.Serve.Pts.Won,Pct.1stt.Serve.In,Unforced.Errors,Winning.Pct.on.1st.Serve,Winning.Pct.on.2nd.Serve,Receiving.Points.Won,Break.Point.Conversions,Net.Approaches,Total.Points.Won,Fastest.Serve.Speed,Average.1st.Serve.Speed,Average.2nd.Serve.Speed,W.UE,RPW.TPW,W.minus.Aces,SPW.TPW,match.type,year
2114.AUS,AUS,1,wta317819,2114,0,Not Seeded,Alison Van Uytvanck,2,2,26,22,2,47,78,39,5,4,32,54,40,82,45,35,29,67,78,NA,NA,NA,0.55,0.448717948717949,17,0.602564102564103,2,2014
2312.AUS,AUS,3,wta312121,2312,25,Seeded,Alize Cornet,2,1,20,11,4,33,60,49,0,5,24,65,23,49,35,41,67,58,60,102.52624668,95.691163568,81.399626152,0.478260869565217,0.683333333333333,11,0.55,2,2014
2223.AUS,AUS,2,wta312121,2223,25,Seeded,Alize Cornet,3,0,29,5,6,56,103,57,1,9,39,59,29,68,43,48,46,33,103,102.52624668,93.2056788,80.156883768,0.172413793103448,0.466019417475728,4,0.543689320388349,2,2014
2145.AUS,AUS,1,wta312121,2145,25,Seeded,Alize Cornet,1,0,1,2,0,4,5,3,1,0,3,75,0,100,100,50,NA,100,5,95.069792376,90.09882284,73.943171848,Inf,10,1,0.8,2,2014
1121.AUS,AUS,1,atpbh09,1121,0,Not Seeded,Aljaz Bedene,3,1,28,28,4,49,74,58,16,11,40,54,52,69,18,35,80,60,74,NA,NA,NA,0.538461538461538,0.472972972972973,12,0.662162162162162,1,2014
2126.AUS,AUS,1,wta311362,2126,0,Not Seeded,Alla Kudryavtseva,2,1,21,3,6,51,93,53,3,4,37,58,4,70,37,53,60,NA,93,NA,NA,NA,0.75,0.56989247311828,0,0.548387096774194,2,2014
2213.AUS,AUS,2,wta311362,2213,0,Not Seeded,Alla Kudryavtseva,2,0,18,23,1,33,47,40,4,2,25,63,24,63,35,29,50,65,47,102.52624668,96.31253476,82.020997344,0.958333333333333,0.617021276595745,19,0.702127659574468,2,2014
2401.AUS,AUS,4,wta311710,2401,14,Seeded,Ana Ivanovic,3,0,28,33,4,52,91,40,1,2,31,53,27,78,60,41,29,77,91,113.089556944,100.662133104,88.856080456,1.22222222222222,0.450549450549451,32,0.571428571428571,2,2014
2204.AUS,AUS,2,wta311710,2204,14,Seeded,Ana Ivanovic,2,0,15,16,6,29,57,26,2,2,16,54,17,62,59,64,86,0,57,111.225443368,103.147617872,87.613338072,0.941176470588235,1.12280701754386,14,0.508771929824561,2,2014
2501.AUS,AUS,5,wta311710,2501,14,Seeded,Ana Ivanovic,3,0,32,34,5,57,104,61,1,4,34,56,35,56,49,43,42,67,104,109.361329792,100.040761912,83.263739728,0.971428571428571,0.413461538461538,33,0.548076923076923,2,2014
2108.AUS,AUS,1,wta311710,2108,14,Seeded,Ana Ivanovic,2,0,20,14,8,33,73,41,3,4,24,60,22,59,33,61,89,67,73,110.604072176,100.040761912,84.506482112,0.636363636363636,0.835616438356164,11,0.452054794520548,2,2014
2302.AUS,AUS,3,wta311710,2302,14,Seeded,Ana Ivanovic,3,1,31,46,4,70,107,57,6,3,47,58,40,82,55,37,44,70,107,111.225443368,100.662133104,86.99196688,1.15,0.345794392523364,40,0.654205607476635,2,2014
2117.AUS,AUS,1,wta320682,2117,0,Not Seeded,Ana Konjuh,2,0,14,7,0,22,36,26,0,5,13,50,25,50,35,31,0,50,36,113.710928136,101.904875488,83.88511092,0.28,0.861111111111111,7,0.611111111111111,2,2014
2122.AUS,AUS,1,wta130611,2122,0,Not Seeded,Anabel Medina Garrigues,2,0,16,0,2,21,41,43,0,1,18,86,1,42,43,39,50,NA,41,NA,NA,NA,0,0.951219512195122,0,0.51219512195122,2,2014
2226.AUS,AUS,2,wta313796,2226,29,Seeded,Anastasia Pavlyuchenkova,2,0,16,5,4,32,65,28,5,1,24,67,1,86,57,51,44,NA,65,NA,NA,NA,5,0.784615384615385,0,0.492307692307692,2,2014
2313.AUS,AUS,3,wta313796,2313,29,Seeded,Anastasia Pavlyuchenkova,3,0,28,39,3,46,78,53,0,7,29,59,49,55,46,38,60,57,78,108.7399586,99.41939072,85.749224496,0.795918367346939,0.487179487179487,39,0.58974358974359,2,2014
2152.AUS,AUS,1,wta313796,2152,29,Seeded,Anastasia Pavlyuchenkova,2,1,23,3,3,47,93,46,3,5,32,62,5,70,54,45,25,NA,93,NA,NA,NA,0.6,0.483870967741935,0,0.505376344086022,2,2014
2136.AUS,AUS,1,wta310770,2136,0,Not Seeded,Andrea Petkovic,2,0,17,15,1,29,48,41,1,4,23,68,31,56,32,35,33,64,48,100.040761912,90.09882284,81.399626152,0.483870967741935,0.729166666666667,14,0.604166666666667,2,2014
1203.AUS,AUS,2,atpsa93,1203,24,Seeded,Andreas Seppi,5,0,49,47,6,90,165,84,12,10,57,57,65,68,52,43,33,60,165,121.788753632,108.118587408,82.020997344,0.723076923076923,0.260606060606061,35,0.545454545454545,1,2014
1105.AUS,AUS,1,atpsa93,1105,24,Seeded,Andreas Seppi,5,1,58,67,7,112,175,103,17,5,72,59,59,70,55,36,39,73,175,124.895609592,109.982700984,82.020997344,1.13559322033898,0.205714285714286,50,0.64,1,2014
1149.AUS,AUS,1,atpg806,1149,0,Not Seeded,Andrey Golubev,2,0,15,8,1,28,37,36,0,0,18,64,15,50,50,26,50,50,37,125.516980784,108.118587408,91.962936416,0.533333333333333,0.702702702702703,8,0.756756756756757,1,2014
1117.AUS,AUS,1,atpmc10,1117,4,Seeded,Andy Murray,3,0,23,32,7,44,84,41,12,2,33,69,13,80,61,54,54,80,84,129.245207936,112.468185752,82.642368536,2.46153846153846,0.642857142857143,20,0.523809523809524,1,2014
1305.AUS,AUS,3,atpmc10,1305,4,Seeded,Andy Murray,3,1,31,29,4,66,106,58,6,2,50,64,30,86,48,40,36,61,106,128.002465552,108.118587408,83.88511092,0.966666666666667,0.377358490566038,23,0.622641509433962,1,2014
1403.AUS,AUS,4,atpmc10,1403,4,Seeded,Andy Murray,4,1,36,48,7,84,137,78,8,3,59,62,47,76,52,46,50,67,137,129.866579128,111.84681456,82.020997344,1.02127659574468,0.335766423357664,40,0.613138686131387,1,2014
1502.AUS,AUS,5,atpmc10,1502,4,Seeded,Andy Murray,4,1,41,41,1,88,121,89,9,1,60,61,46,67,49,27,50,63,121,129.245207936,113.710928136,81.399626152,0.891304347826087,0.223140495867769,32,0.727272727272727,1,2014
1209.AUS,AUS,2,atpmc10,1209,4,Seeded,Andy Murray,3,0,28,25,8,52,106,44,5,5,35,59,31,80,55,55,47,100,106,128.623836744,106.875845024,83.88511092,0.806451612903226,0.518867924528302,20,0.490566037735849,1,2014
2125.AUS,AUS,1,wta311470,2125,9,Seeded,Angelique Kerber,3,0,23,30,4,49,81,57,6,5,36,65,17,63,42,44,57,75,81,101.283504296,89.477451648,73.321800656,1.76470588235294,0.54320987654321,24,0.604938271604938,2,2014
2307.AUS,AUS,3,wta311470,2307,9,Seeded,Angelique Kerber,2,0,19,21,7,27,64,32,4,4,21,63,16,66,32,61,54,67,64,103.147617872,92.584307608,72.700429464,1.3125,0.953125,17,0.421875,2,2014
2404.AUS,AUS,4,wta311470,2404,9,Seeded,Angelique Kerber,3,0,29,25,5,45,77,63,1,4,35,64,35,56,29,42,83,38,77,102.52624668,88.856080456,71.45768708,0.714285714285714,0.545454545454545,24,0.584415584415584,2,2014
2213.AUS,AUS,2,wta311470,2213,9,Seeded,Angelique Kerber,2,0,18,22,4,35,65,29,3,1,24,59,10,83,55,48,31,75,65,104.390360256,93.2056788,73.321800656,2.2,0.738461538461539,19,0.538461538461538,2,2014
