"name","Winners","Unforced.Errors","Double.Faults","Aces","First.Serves.In","Winning.Pct.on.1st.Serve","Winning.Pct.on.2nd.Serve","Receiving.Points.Won","Fastest.Serve.Speed","Round"
"Lukas Lacko",17,29,1,5,56,63,50,22,124.895609592,1
"Lukas Rosol",82,96,12,11,94,77,45,27,NA,1
"Lukasz Kubot",8,12,12,8,100,68,37,36,NA,1
"Marcel Granollers",41,34,4,13,91,70,47,28,128.623836744,1
"Marcos Baghdatis",37,50,4,8,66,80,33,31,128.623836744,1
"Marin Cilic",39,30,5.5,18.5,71.5,74.5,51.5,40,136.080291048,2
"Marinko Matosevic",46,63,9,14,105,66,43,35,120.546011248,1
"Martin Klizan",26.6666666666667,17.6666666666667,3.66666666666667,10.3333333333333,49.3333333333333,74,66,33.3333333333333,122.410124824,3
"Matthew Ebden",37.5,49,5,7.5,86.5,70.5,50,33.5,126.449037572,2
"Michael Berrer",19,15.5,4.5,7.5,58.5,75.5,61,34.5,NA,2
"Michael Llodra",10,5,5,10,69,68,44,21,NA,1
"Michael Russell",1,8,8,1,42,57,45,36,NA,1
"Michal Przysiezny",30.5,31.5,3,13.5,68.5,72.5,52.5,35,130.48795032,2
"Mikhail Kukushkin",2,3,3,2,86,64,33,41,NA,1
"Mikhail Youzhny",29.5,38,3.5,9.5,66.5,70,61,40,118.681897672,2
"Milos Raonic",53.6666666666667,34.6666666666667,4.66666666666667,23,68.6666666666667,81.6666666666667,56,32,140.429889392,3
"Nick Kyrgios",65,63,12,29,94.5,80.5,43.5,34,132.352063896,2
"Nicolas Mahut",49,57,4,7,87,72,47,39,125.516980784,1
"Nikolay Davydenko",22.5,23.5,2.5,6,93,66,39.5,41.5,128.623836744,2
"Novak Djokovic",35.8,29,1.2,8.4,59,80.4,68.2,43.6,125.7655292608,5
"Pablo Andujar",29.5,14.5,1,6.5,88.5,62.5,65,43,115.575041712,2
"Pablo Carreno Busta",47,58,7,7,78,59,51,34,NA,1
"Peter Gojowczyk",36,59,6,8,57,77,47,31,NA,1
"Radek Stepanek",51,54,11,5,62,60,48,37,NA,1
"Rafael Nadal",28.2857142857143,24.8571428571429,2,4.71428571428571,63.2857142857143,74.8571428571429,59.4285714285714,40,124.984376905143,7
"Rhyne Williams",55,39,1,29,65,80,51,26,131.730692704,1
"Ricardas Berankis",28,38,3,10,57,68,46,29,121.788753632,1
"Richard Gasquet",42.3333333333333,30.3333333333333,3.33333333333333,8.33333333333333,66.6666666666667,72.3333333333333,51,43.3333333333333,124.688485861333,3
"Roberto Bautista Agut",30.25,32,2.25,5.5,73.75,72.5,55.5,43.25,122.410124824,4
"Robin Haase",38,56,6,11,83,67,44,30,NA,1
"Roger Federer",41.3333333333333,30.5,1.33333333333333,8.83333333333333,57.1666666666667,80.8333333333333,58,40.1666666666667,126.966846898667,6
"Ryan Harrison",19,23,1,2,58,72,49,22,140.429889392,1
"Sam Querrey",34.6666666666667,35.6666666666667,3,17.6666666666667,63.3333333333333,78.3333333333333,52,34.3333333333333,134.009053741333,3
"Samuel Groth",35,25,4,16,60,67,52,23,145.400858928,1
"Santiago Giraldo",35,41,3,9,73,70,55,30,126.138351976,1
"Sergiy Stakhovsky",14,8,8,14,72,69,36,36,NA,1
"Somdev Devvarman",6,1,1,6,54,63,56,28,NA,1
"Stanislas Wawrinka",50.3333333333333,42,3.16666666666667,13.5,65,84.1666666666667,51.6666666666667,38.5,134.733986798667,7
"Stephane Robert",33.25,32.25,5.75,6.75,56.5,76.75,49.5,43.5,120.546011248,4
"Steve Johnson",21,12,12,21,69,72,45,36,NA,1
"Teymuraz Gabashvili",18.6666666666667,29.3333333333333,4.33333333333333,3.33333333333333,75.3333333333333,66,47.6666666666667,35.6666666666667,122.099439228,3
"Thanasi Kokkinakis",37.5,34.5,6,6,65.5,66.5,45.5,30,126.449037572,2
"Thomaz Bellucci",26,33,5.5,8.5,50,70,55,31.5,128.623836744,2
"Tim Smyczek",8,5,5,8,54,52,29,28,NA,1
"Tobias Kamke",6,8,8,6,66,77,51,34,NA,1
"Tomas Berdych",39.5,30.6666666666667,3.16666666666667,10.3333333333333,53.5,85,61,42,134.423301202667,6
"Tommy Haas",18,35,7,4,31,71,38,37,120.546011248,1
"Tommy Robredo",47.75,30.75,1.5,11.75,82.5,74.5,55,35.25,126.345475706667,4
"Vasek Pospisil",38.5,32,3.5,9.5,63.5,83.5,56.5,36.5,128.623836744,2
"Victor Hanescu",23.5,28.5,2.5,7.5,77.5,74,57.5,30,NA,2
"Vincent Millot",38,61.5,8,10,74.5,56,46,38.5,121.788753632,2
"Wayne Odesnik",39,73,2,11,111,60,41,42,NA,1
"Yen-Hsun Lu",16,25.5,3.5,5.5,64,64,46,43,120.546011248,2
"Ze Zhang",20,48,6,7,64,69,53,28,130.48795032,1
